id,saleprice
2658,136157.7768655942
2718,175196.01312444563
2414,214659.14701408343
1989,131145.93751213816
625,183330.69518610364
333,91896.75398478554
1327,98799.95771372887
858,135740.3567538308
95,197774.0505386877
1568,174933.0904253738
2482,180210.10908047087
1364,127140.37037530754
2584,152078.5495836281
818,263930.99101721833
2673,157013.87676903245
2089,133497.49700264723
1297,177375.25509743704
790,110030.80871941845
2616,198943.6516460768
720,216148.45412086844
222,139170.29119913385
557,123194.64209920587
1148,207081.87784585933
2766,161522.16689344935
534,197767.19585953624
1452,107017.64525087723
630,127647.0426010871
2648,149569.9480685533
125,161069.7730133287
1904,27636.667708871246
1670,96045.41951518292
756,101834.17849747319
717,259283.8358210031
1032,166842.927498362
852,222174.580212543
1731,177194.19208288947
2639,118603.26316516736
2071,76537.46636547326
1267,138525.15866709017
1851,200934.12582789676
567,171053.3413009966
2439,227412.2955642919
1898,160032.10192566403
647,163510.22070691825
2256,241432.87503771103
979,101368.44056448397
1444,228530.5331072979
2485,114585.47727591962
157,106796.25545676312
88,118152.07377912386
2003,109060.94764617624
186,226689.08410570328
1425,259199.47763801255
2695,128685.85464140913
738,115677.75415224124
395,154926.36001857015
1353,163990.94237143715
1878,142736.84749124575
390,173474.9625678109
1456,247093.86021737356
1103,308192.3011887412
1387,137414.75501929582
2070,150421.7598737495
1199,174851.0991210774
2479,191718.49380189006
501,305721.60584562103
2362,81931.83114238715
1718,217411.12097479895
2188,75263.9946856549
1483,178342.79571431538
2557,86574.5433619243
437,312276.9747018451
2224,207519.4924016545
1628,200573.90594353434
397,121776.87344312036
587,195894.89351206511
971,161938.5303919563
2611,140338.7485638476
1887,94003.37913826984
2399,348711.6573190316
2148,215695.98331775854
304,121776.86375961124
1997,139442.9279304764
2817,115253.00529669042
1431,182367.98954465482
427,324221.1450653811
263,118524.12863193787
598,186111.2297368408
2895,244455.2832229843
687,151969.19132405464
1822,132669.89562003678
2191,99753.44093185708
179,114631.42850260338
1009,224360.7799306818
